SerialNumber,f43505dce1686346de2c5082ea958af3cdd155e4
TotalPlayTime,842.77
TotalDeathCount,5
TotalKilledEnemies,43
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",221.97,0,0,0.00,0.00,NaN,67,1,1395.00,54.23,25.7220,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Shotgun}",200.00,16,0,14,0,3,"C1TonpaMobPrefab (2)-AttackHitbox:20;C1PistolMobForDashTutorial-AttackHitbox:130;C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:20"
"C1_Stage2_2","",22.15,0,0,0.00,0.00,NaN,8,0,180.00,7.08,25.4121,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,0,0,4,0,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_3","",69.87,0,0,0.00,0.00,NaN,27,0,615.00,17.25,35.6517,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",110.00,0,0,22,0,2,"C1PistolMobForDashTutorial-AttackHitbox:50;C1TonpaMobPrefab (4)-AttackHitbox:20;C1PistolMob (1)-AttackHitbox:20;C1TonpaMobPrefab (8)-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10"
